Center,Country,lat,lon,tweet20111,tweet20112,tweet20113,tweet20114,tweet20115,tweet20116,tweet20117,tweet20118,tweet20119,tweet201110,tweet201111,tweet201112,tweet20121,tweet20122,tweet20123,tweet20124,tweet20125,tweet20126,tweet20127,tweet20128,tweet20129,tweet201210,tweet201211,tweet201212,tweet20131,tweet20132,tweet20133,tweet20134,tweet20135,tweet20136,tweet20137,tweet20138,tweet20139,tweet201310,tweet201311,tweet201312,tweet20141,tweet20142,tweet20143,tweet20144,tweet20145,tweet20146,tweet20147,tweet20148,tweet20149,tweet201410,tweet201411,tweet201412,actor20111,actor20112,actor20113,actor20114,actor20115,actor20116,actor20117,actor20118,actor20119,actor201110,actor201111,actor201112,actor20121,actor20122,actor20123,actor20124,actor20125,actor20126,actor20127,actor20128,actor20129,actor201210,actor201211,actor201212,actor20131,actor20132,actor20133,actor20134,actor20135,actor20136,actor20137,actor20138,actor20139,actor201310,actor201311,actor201312,actor20141,actor20142,actor20143,actor20144,actor20145,actor20146,actor20147,actor20148,actor20149,actor201410,actor201411,actor201412
Hohhot,China,40.842585,111.74918100000001,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,6,3,4,13,9,3,6,7,5,8,11,7,6,12,6,9,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,3,1,3,6,3,3,3,4,4,3,4,4,4,6,3,6,6,4,0,0,0,0,0
Harare,Zimbabwe,-17.8251657,31.033509999999996,0,0,0,0,0,0,0,0,0,8,15,20,12,13,7,16,31,24,45,56,32,53,71,63,59,88,102,69,79,82,120,60,112,129,128,366,205,155,341,420,753,383,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,5,6,4,10,16,11,13,21,14,21,32,31,27,41,38,30,43,39,48,34,46,45,60,114,94,58,67,90,113,81,38,0,0,0,0,0
Patna,India,25.5940947,85.1375645,0,0,0,0,0,0,0,0,0,0,0,3,20,7,5,12,6,13,15,21,25,27,37,41,85,29,18,49,78,61,47,48,39,134,99,377,215,180,658,295,201,184,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,4,6,5,7,10,12,10,16,14,20,16,17,11,17,22,18,17,21,26,34,38,68,82,49,51,62,78,89,44,0,0,0,0,0
Beirut,Lebanon,33.8886289,35.4954794,0,0,0,0,0,0,0,0,0,47,200,231,237,293,402,381,447,570,657,855,969,1331,1524,1805,2428,1616,2157,2278,2535,2531,2233,2538,2845,3259,4333,9597,9588,7199,7351,9013,8382,10218,4368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,52,82,106,114,147,152,190,197,230,286,308,431,474,520,571,524,545,516,586,643,617,588,666,672,812,1352,1176,808,944,1060,1046,1135,701,0,0,0,0,0
Las Vegas,United States,36.169941200000004,-115.13982959999998,0,0,0,0,0,0,0,0,17,288,386,484,1445,803,841,1084,983,1192,1594,1543,1450,1747,1823,2569,3690,2056,2356,2850,2896,3826,4303,4569,3782,4213,4902,7326,10971,7562,9153,9580,10116,11479,5668,0,0,0,0,0,0,0,0,0,0,0,0,0,7,137,210,273,676,405,456,569,493,606,695,641,698,764,748,804,1312,766,907,1053,1042,1419,1548,1431,1293,1353,1510,2117,3004,2321,2883,3031,3025,3579,1807,0,0,0,0,0
Lusaka,Zambia,-15.3875259,28.3228165,0,0,0,0,0,0,0,0,0,1,1,5,31,9,9,26,24,39,71,129,109,125,155,228,273,172,182,305,277,173,434,276,260,364,381,417,553,398,517,839,771,666,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,6,8,8,14,16,24,42,29,45,51,65,76,59,61,72,70,68,96,85,111,116,149,176,175,142,169,170,170,197,126,0,0,0,0,0
Katowice,Poland,50.2648919,19.023781500000002,0,0,0,0,0,0,0,0,10,22,12,18,15,22,49,16,11,21,30,22,23,9,42,24,50,31,40,65,96,76,76,63,98,95,87,143,177,190,380,229,269,364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,10,6,13,10,10,6,14,13,10,11,9,21,18,20,16,22,31,31,35,30,33,34,33,40,57,51,58,96,63,80,83,47,0,0,0,0,0
St. Louis,United States,38.6270025,-90.1994042,0,0,0,0,0,0,0,0,22,337,342,541,632,552,780,806,844,883,1113,1209,1197,1406,1176,1255,1218,1057,1397,1605,2204,2489,2073,2146,2343,2766,2469,3267,3956,3397,5246,6235,5190,5313,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,10,170,163,205,271,274,423,422,466,521,608,628,635,671,586,607,603,548,666,771,960,1008,952,990,977,1214,993,1197,1189,1163,1876,2282,1958,1934,1061,0,0,0,0,0
Colombo,Sri Lanka,6.927078599999999,79.861243,0,0,0,0,0,0,0,0,0,43,57,131,111,86,69,93,100,103,93,168,331,292,235,265,238,177,242,232,269,236,360,353,290,307,335,971,1066,1056,1253,1612,1801,1367,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,36,34,25,30,44,42,43,44,73,98,101,99,99,76,75,90,83,79,92,99,103,120,147,149,284,225,163,245,349,395,366,250,0,0,0,0,0
Baotou,China,40.657378,109.840349,0,0,0,0,0,0,0,0,1,2,0,0,4,1,1,0,0,2,0,1,2,2,1,0,4,2,4,4,3,1,8,7,7,3,7,7,8,10,13,12,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,1,0,0,2,0,1,1,2,1,0,4,2,4,2,3,1,4,2,3,2,5,3,6,4,6,6,4,6,1,0,0,0,0,0
