city,lons,lats
tianjin,117.266203187,39.2683358284
tianjin,117.275159088,39.2637725688
tianjin,117.283810787,39.2586559681
tianjin,117.29212414,39.2530062191
tianjin,117.300066338,39.2468456188
tianjin,117.307606037,39.2401984804
tianjin,117.31471348,39.2330910369
tianjin,117.321360619,39.2255513384
tianjin,117.327521219,39.2176091404
tianjin,117.333170968,39.2092957872
tianjin,117.338287569,39.2006440879
tianjin,117.342850828,39.1916881866
tianjin,117.346842738,39.1824634284
tianjin,117.350247543,39.1730062191
tianjin,117.353051806,39.1633538819
tianjin,117.35524446,39.1535445103
tianjin,117.356816852,39.1436168174
tianjin,117.357762777,39.1336099831
tianjin,117.3580785,39.1235635
tianjin,117.357762777,39.1135170169
tianjin,117.356816852,39.1035101826
tianjin,117.35524446,39.0935824897
tianjin,117.353051806,39.0837731181
tianjin,117.350247543,39.0741207809
tianjin,117.346842738,39.0646635716
tianjin,117.342850828,39.0554388134
tianjin,117.338287569,39.0464829121
tianjin,117.333170968,39.0378312128
tianjin,117.327521219,39.0295178596
tianjin,117.321360619,39.0215756616
tianjin,117.31471348,39.0140359631
tianjin,117.307606037,39.0069285196
tianjin,117.300066338,39.0002813812
tianjin,117.29212414,38.9941207809
tianjin,117.283810787,38.9884710319
tianjin,117.275159088,38.9833544312
tianjin,117.266203187,38.9787911716
tianjin,117.256978428,38.9747992623
tianjin,117.247521219,38.9713944574
tianjin,117.237868882,38.9685901942
tianjin,117.22805951,38.9663975399
tianjin,117.218131817,38.9648251478
tianjin,117.208124983,38.9638792235
tianjin,117.1980785,38.9635635
tianjin,117.188032017,38.9638792235
tianjin,117.178025183,38.9648251478
tianjin,117.16809749,38.9663975399
tianjin,117.158288118,38.9685901942
tianjin,117.148635781,38.9713944574
tianjin,117.139178572,38.9747992623
tianjin,117.129953813,38.9787911716
tianjin,117.120997912,38.9833544312
tianjin,117.112346213,38.9884710319
tianjin,117.10403286,38.9941207809
tianjin,117.096090662,39.0002813812
tianjin,117.088550963,39.0069285196
tianjin,117.08144352,39.0140359631
tianjin,117.074796381,39.0215756616
tianjin,117.068635781,39.0295178596
tianjin,117.062986032,39.0378312128
tianjin,117.057869431,39.0464829121
tianjin,117.053306172,39.0554388134
tianjin,117.049314262,39.0646635716
tianjin,117.045909457,39.0741207809
tianjin,117.043105194,39.0837731181
tianjin,117.04091254,39.0935824897
tianjin,117.039340148,39.1035101826
tianjin,117.038394223,39.1135170169
tianjin,117.0380785,39.1235635
tianjin,117.038394223,39.1336099831
tianjin,117.039340148,39.1436168174
tianjin,117.04091254,39.1535445103
tianjin,117.043105194,39.1633538819
tianjin,117.045909457,39.1730062191
tianjin,117.049314262,39.1824634284
tianjin,117.053306172,39.1916881866
tianjin,117.057869431,39.2006440879
tianjin,117.062986032,39.2092957872
tianjin,117.068635781,39.2176091404
tianjin,117.074796381,39.2255513384
tianjin,117.08144352,39.2330910369
tianjin,117.088550963,39.2401984804
tianjin,117.096090662,39.2468456188
tianjin,117.10403286,39.2530062191
tianjin,117.112346213,39.2586559681
tianjin,117.120997912,39.2637725688
tianjin,117.129953813,39.2683358284
tianjin,117.139178572,39.2723277377
tianjin,117.148635781,39.2757325426
tianjin,117.158288118,39.2785368058
tianjin,117.16809749,39.2807294601
tianjin,117.178025183,39.2823018522
tianjin,117.188032017,39.2832477765
tianjin,117.1980785,39.2835635
istanbul,28.9651646,41.1696334
istanbul,28.9752110831,41.1693176765
istanbul,28.9852179174,41.1683717522
istanbul,28.9951456103,41.1667993601
istanbul,29.0049549819,41.1646067058
istanbul,29.0146073191,41.1618024426
istanbul,29.0240645284,41.1583976377
istanbul,29.0332892866,41.1544057284
istanbul,29.0422451879,41.1498424688
istanbul,29.0508968872,41.1447258681
istanbul,29.0592102404,41.1390761191
istanbul,29.0671524384,41.1329155188
istanbul,29.0746921369,41.1262683804
istanbul,29.0817995804,41.1191609369
istanbul,29.0884467188,41.1116212384
istanbul,29.0946073191,41.1036790404
istanbul,29.1002570681,41.0953656872
istanbul,29.1053736688,41.0867139879
istanbul,29.1099369284,41.0777580867
istanbul,29.1139288377,41.0685333284
istanbul,29.1173336426,41.0590761191
istanbul,29.1201379058,41.0494237819
istanbul,29.1223305601,41.0396144103
istanbul,29.1239029522,41.0296867174
istanbul,29.1248488765,41.0196798831
istanbul,29.1251646,41.0096334
istanbul,29.1248488765,40.9995869169
istanbul,29.1239029522,40.9895800826
istanbul,29.1223305601,40.9796523897
istanbul,29.1201379058,40.9698430181
istanbul,29.1173336426,40.9601906809
istanbul,29.1139288377,40.9507334716
istanbul,29.1099369284,40.9415087133
istanbul,29.1053736688,40.9325528121
istanbul,29.1002570681,40.9239011128
istanbul,29.0946073191,40.9155877596
istanbul,29.0884467188,40.9076455616
istanbul,29.0817995804,40.9001058631
istanbul,29.0746921369,40.8929984196
istanbul,29.0671524384,40.8863512812
istanbul,29.0592102404,40.8801906809
istanbul,29.0508968872,40.8745409319
istanbul,29.0422451879,40.8694243312
istanbul,29.0332892866,40.8648610716
istanbul,29.0240645284,40.8608691623
istanbul,29.0146073191,40.8574643574
istanbul,29.0049549819,40.8546600942
istanbul,28.9951456103,40.8524674399
istanbul,28.9852179174,40.8508950478
istanbul,28.9752110831,40.8499491235
istanbul,28.9651646,40.8496334
istanbul,28.9551181169,40.8499491235
istanbul,28.9451112826,40.8508950478
istanbul,28.9351835897,40.8524674399
istanbul,28.9253742181,40.8546600942
istanbul,28.9157218809,40.8574643574
istanbul,28.9062646716,40.8608691623
istanbul,28.8970399133,40.8648610716
istanbul,28.8880840121,40.8694243312
istanbul,28.8794323128,40.8745409319
istanbul,28.8711189596,40.8801906809
istanbul,28.8631767616,40.8863512812
istanbul,28.8556370631,40.8929984196
istanbul,28.8485296196,40.9001058631
istanbul,28.8418824812,40.9076455616
istanbul,28.8357218809,40.9155877596
istanbul,28.8300721319,40.9239011128
istanbul,28.8249555312,40.9325528121
istanbul,28.8203922716,40.9415087133
istanbul,28.8164003623,40.9507334716
istanbul,28.8129955574,40.9601906809
istanbul,28.8101912942,40.9698430181
istanbul,28.8079986399,40.9796523897
istanbul,28.8064262478,40.9895800826
istanbul,28.8054803235,40.9995869169
istanbul,28.8051646,41.0096334
istanbul,28.8054803235,41.0196798831
